pivot_index,time,kind,price,attribution_type,bars,parent_retracement_depth,major_ratio,move_quality,bucket,rule,decision_b_index,decision_c_index
37,2026-08-13 17:30:00,SH,0.58574,CASCADE_ASSOCIATED,3,0.6744186046511268,0.335260115606949,0.6031512605042364,50-70%,SHORT_50_70_QUALITY_PASS,48,51
40,2026-08-13 19:00:00,SL,0.58432,CASCADE_ASSOCIATED,3,0.6744186046511268,0.335260115606949,0.6031512605042364,50-70%,SHORT_50_70_QUALITY_PASS,48,51
48,2026-08-13 23:00:00,SH,0.58518,DIRECT_DEPTH_TIME,3,0.6744186046511268,0.335260115606949,0.6031512605042364,50-70%,SHORT_50_70_QUALITY_PASS,48,51
51,2026-08-14 00:30:00,SL,0.5846,DIRECT_DEPTH_TIME,3,0.6744186046511268,0.335260115606949,0.6031512605042364,50-70%,SHORT_50_70_QUALITY_PASS,48,51
97,2026-08-14 23:30:00,SH,0.58914,DIRECT_DEPTH_TIME,2,1.0,0.40462427745666485,0.5840185656839669,>=70%,SHORT_GE_70_STRONG_CANDIDATE,97,99
99,2026-08-17 00:30:00,SL,0.58844,DIRECT_DEPTH_TIME,2,1.0,0.40462427745666485,0.5840185656839669,>=70%,SHORT_GE_70_STRONG_CANDIDATE,97,99
213,2026-08-19 09:30:00,SH,0.58795,DIRECT_DEPTH_TIME,2,0.5578947368420751,0.6127167630057481,0.7106870993589666,50-70%,SHORT_50_70_QUALITY_PASS,213,215
215,2026-08-19 10:30:00,SL,0.58689,DIRECT_DEPTH_TIME,2,0.5578947368420751,0.6127167630057481,0.7106870993589666,50-70%,SHORT_50_70_QUALITY_PASS,213,215
221,2026-08-19 13:30:00,SH,0.58845,DIRECT_DEPTH_TIME,2,0.5961538461538352,0.5375722543352494,0.7009329525364101,50-70%,SHORT_50_70_QUALITY_PASS,221,223
223,2026-08-19 14:30:00,SL,0.58752,DIRECT_DEPTH_TIME,2,0.5961538461538352,0.5375722543352494,0.7009329525364101,50-70%,SHORT_50_70_QUALITY_PASS,221,223
301,2026-08-21 05:30:00,SH,0.59739,CASCADE_ASSOCIATED,3,0.979381443298949,0.5491329479768794,0.4054427074209128,>=70%,SHORT_GE_70_STRONG_CANDIDATE,306,309
306,2026-08-21 08:00:00,SL,0.59642,DIRECT_DEPTH_TIME,3,0.979381443298949,0.5491329479768794,0.4054427074209128,>=70%,SHORT_GE_70_STRONG_CANDIDATE,306,309
309,2026-08-21 09:30:00,SH,0.59737,DIRECT_DEPTH_TIME,3,0.979381443298949,0.5491329479768794,0.4054427074209128,>=70%,SHORT_GE_70_STRONG_CANDIDATE,306,309
312,2026-08-21 11:00:00,SL,0.59637,DIRECT_DEPTH_TIME,3,1.0526315789473624,0.5780346820809222,0.38033091202582614,>=70%,SHORT_GE_70_STRONG_CANDIDATE,309,312
